"","codigo","DescProd","VerPof"
"1","6300101","ARROZ (POLIDO, PARBOILIZADO, AGULHA, AGULHINHA, ETC)","POF0809"
"2","6300201","ARROZ INTEGRAL","POF0809"
"3","6300701","MILHO EM GRAO","POF0809"
"4","6300706","CANJIQUINHA DE MILHO EM GRAO","POF0809"
"5","6300707","XEREM DE MILHO","POF0809"
"6","6301001","AMENDOIM EM GRAO IN NATURA","POF0809"
"7","6301003","MENDOBIM","POF0809"
"8","6301004","MEDUBIM","POF0809"
"9","6301101","ERVILHA EM GRAO","POF0809"
"10","6301201","FAVA EM GRAO","POF0809"
"11","6301204","MANGALO AMARGO EM GRAO","POF0809"
"12","6301603","FEIJAO DE CORDA","POF0809"
"13","6301634","FEIJAO VERDE","POF0809"
"14","6302001","SEMENTE DE LINHACA","POF0809"
"15","6302601","GUANDO","POF0809"
"16","6302602","ANDU","POF0809"
"17","6302701","TREMOCO","POF0809"
"18","6302801","GRAO DE BICO","POF0809"
"19","6302901","LENTILHA","POF0809"
"20","6303001","SOJA EM GRAO","POF0809"
"21","6303102","FEIJAO (PRETO, MULATINHO, ROXO, ROSINHA, ETC)","POF0809"
"22","6303201","SEMENTE DE ABOBORA","POF0809"
"23","6303501","QUIRERA NAO ESPECIFICADA","POF0809"
"24","6304003","FEIJAO DE CORDA ORGANICO","POF0809"
"25","6304034","FEIJAO VERDE ORGANICO","POF0809"
"26","6304101","FEIJAO ORGANICO","POF0809"
"27","6304201","PIPOCA LIGHT","POF0809"
"28","6304301","ARROZ ORGANICO","POF0809"
"29","6304401","ARROZ INTEGRAL ORGANICO","POF0809"
"30","6304601","SOJA EM GRAO ORGANICA","POF0809"
"31","6304602","FEIJAO SOJA ORGANICO","POF0809"
"32","6304901","QUINOA","POF0809"
"33","6400101","BATATA INGLESA","POF0809"
"34","6400201","ARARUTA","POF0809"
"35","6400303","MANDIOQUINHA SALSA (BATATA BAROA)","POF0809"
"36","6400304","CENOURA AMARELA (BATATA BAROA)","POF0809"
"37","6400305","CEREFOLIO","POF0809"
"38","6400401","BATATA DOCE","POF0809"
"39","6400501","INHAME","POF0809"
"40","6400508","QUICARE","POF0809"
"41","6400601","MANDIOCA","POF0809"
"42","6400609","AIPIM","POF0809"
